TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target,Target_pca
14.089999999999975,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,0,3
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,4,4
126.29000000000002,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,1,1
184.5,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,1,1
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,1,1
7.079999999999984,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,3,3
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,3,0
106.23000000000002,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,3,3
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,0,0
17.78000000000003,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,3,3
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,1,1
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,1,1
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,1,1
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,1,1
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,0,0
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.2600000000002,1,1
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,0,0
18.680000000000007,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,3,0
71.48000000000002,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,1,1
59.31999999999999,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,0,0
85.76999999999998,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,4,4
52.19999999999999,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,4,2
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,2,1
145.54000000000002,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,1,1
7.490000000000009,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,3,0
246.93,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.3500000000004,2,1
40.31999999999999,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,0,0
127.44999999999999,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,0,0
56.170000000000016,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,1,1
28.310000000000002,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,3,3
59.120000000000005,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,4,4
396.45,Debit,New York,ATM,49.0,Engineer,168.0,3.0,9690.15,2,2
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,1,1
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,3,3
124.75999999999999,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,0,0
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,1,1
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.88,4,4
335.63,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3899999999999,0,0
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,0,0
34.01999999999998,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,4,4
241.42,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,3,3
55.31999999999999,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.78999999999996,1,1
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,1,1
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,0,0
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,1,1
510.24,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.6999999999998,1,1
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,1,1
22.00999999999999,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.0900000000001,3,0
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,3,0
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,0,0
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,4,4
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,1,1
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,0,0
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.0299999999997,1,1
60.53999999999999,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,3,0
292.56,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,3,0
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,0,0
112.07,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3000000000002,1,1
568.52,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,0,0
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,2.0,4175.02,0,0
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,4,2
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,3,3
5.769999999999982,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,4,4
201.32999999999998,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,3,0
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,0,0
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,1,1
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,3,0
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,0,0
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,4,2
24.769999999999982,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,0,0
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,3,0
1212.51,Debit,Indianapolis,Branch,20.0,Student,24.000000000000014,1.0,605.9499999999998,1,1
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,4,4
120.29000000000002,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.3900000000003,1,1
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,4,4
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,0,0
922.55,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,0,0
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,4,2
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,0,0
1340.19,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,3,0
24.560000000000002,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,4,4
9.610000000000014,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,3,3
392.96,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.6499999999996,1,1
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,3,0
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,4.0,2929.91,2,2
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.0500000000002,1,1
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,0,0
508.68,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,3,3
858.6299999999999,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,1,1
25.360000000000014,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,0,0
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,0,0
115.02000000000001,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,4,2
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.000000000000014,1.0,8901.93,4,2
98.54000000000002,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,3,0
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,4,2
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,4,2
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,4,2
114.98000000000002,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,0,0
756.59,Debit,Sacramento,Branch,27.0,Student,16.999999999999986,1.0,420.64999999999964,1,1
503.76,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.8199999999997,1,1
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,0,0
1045.22,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,0,0
254.37,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,3,3
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,3,0
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.15999999999985,0,0
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,4,4
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,3,3
56.97999999999999,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,2.0,5688.37,3,3
407.65,Debit,Boston,Online,26.0,Engineer,62.0,1.0,8346.64,4,2
115.82999999999998,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,4,2
53.56999999999999,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,0,0
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,3,3
